Temperature,Measure,Value
<50,AvgHoursOutside,3.2
50-70,AvgHoursOutside,6.5
70-85,AvgHoursOutside,7.2
85+,AvgHoursOutside,4.1
<50,AvgHoursWalking,1.9
50-70,AvgHoursWalking,3.6
70-85,AvgHoursWalking,4.2
85+,AvgHoursWalking,2.8
<50,AvgOutings,1.4
50-70,AvgOutings,4.4
70-85,AvgOutings,4.8
85+,AvgOutings,2.3
